Library code;Host taxon;Habitat;Collection code;Original filename;Read pairs;QC reads;Raw BLAST count;6C count;% Viral QC
PV538;Brassica oleracea;Crop;C1F;PV538_03992AAC_GGCTAC;15136347;15101695;54125;13258;0.08779147
PV540;Picris echioides;Crop;C1F;PV540_03994AAC_GTCCGC;14696239;14672468;9076;6;4.08929E-05
PV544;Sisymbrium runcinatum;Crop;C1F;PV544_31187_AGGACT;31944154;21109159;2860;58;0.000274762
PV546;Klasea pinnatifida;Crop;C2F;PV546_31212_AGGCCA;25467179;15519949;2752;NA;NA
PV551;Diplotaxis erucoides;Crop;C2F;PV551_03997AAC_CGTACG;13593569;13559122;224;4;2.95004E-05
PV553;Rumex pulcher;Crop;C2F;PV553_03998AAC_GCCAAT;12946991;12919997;6553;14;0.000108359
PV554;Brassica oleracea;Crop;C2F;PV554_03995AAC_CCGTCC;12582239;12572345;239;8;6.36317E-05
PV556;Brassica oleracea;Crop;C2F;PV556_03996AAC_GAGTGG;15753815;15734637;74802;16094;0.102283898
PV557;Erodium cicutarium;Crop;C2F;PV557_31213_TTGGCA;29121727;17368456;169;NA;NA
PV558;Phlomis lychnitis;Oak;Q2P;PV558_31194_TAACGC;31440308;18714998;2304;2;1.06866E-05
PV559;Stipa parviflora;Oak;Q1P;PV559_31199_TTCAAG;23449265;13728978;384;154;0.001121715
PV560;Teucrium chamaedrys;Oak;Q2P;PV560_31180_TAATTG;33174653;19544790;481;40;0.000204658
PV561;Dittrichia viscosa;Wasteland;E2F_E2P;PV561_03636AAB_ACTTCG;20178175;12414016;107546;4;3.22216E-05
PV562;Foeniculum vulgare;Wasteland;E3F_E3P;PV562_03637AAB_AATGCA;21657847;13233173;96862;NA;NA
PV563;Foeniculum vulgare;Wasteland;E2P;PV563_03638AAB_TGACTT;22168682;13777529;74087;NA;NA
PV564;Phlomis purpurea;Wasteland;E2P;PV564_03639AAB_GTCAAC;14077146;8598997;105118;NA;NA
PV565;Phlomis purpurea;Wasteland;E3P;PV565_03640AAB_TTCTGG;15716704;9690774;118577;NA;NA
PV566;Retama sphaerocarpa;Wasteland;E2F_E2P;PV566_03641AAB_AACCGG;16014966;9829939;167861;NA;NA
PV567;Rumex pulcher;Wasteland;E2P;PV567_03642AAB_GTTGCA;13629510;8339191;34270;NA;NA
PV568;Rumex pulcher;Wasteland;E3F_E3P;PV568_03643AAB_CCTAAC;16576483;10113234;34552;NA;NA
PV569;Silybum marianum;Wasteland;E2F_E2P;PV569_03644AAB_CGTTGG;16862220;10432926;127495;NA;NA
PV570;Crataegus monogyna;Oak;Q3F_Q3P_Q4P;PV570_03645AAB_GTTCAG;15511849;9461921;113749;2;2.11374E-05
PV571;Bupleurum rigidum;Oak;Q3F_Q3P;PV571_03646AAB_CGCAGG;19386021;11857104;131106;NA;NA
PV572;Trifolium tomentosum;Wasteland;E1P;PV572_03647AAB_GCTCCA;17960626;11067348;83505;NA;NA
PV573;Trifolium tomentosum;Wasteland;E2P;PV573_03648AAB_TCGCTA;15874050;9861004;1448;4;4.05638E-05
