TaxId	Biosample	Representative species	PAB-phyto	PAB-symb
1207075	SAMN02604261	Pseudomonas sp. UW4		
69328	SAMN02603030	Pseudomonas sp. VLB120		
316	SAMN02673421	Pseudomonas stutzeri		
316	SAMN02692943	Pseudomonas stutzeri		
316	SAMN03352191	Pseudomonas stutzeri		
316	SAMN03765687	Pseudomonas stutzeri		
316	SAMN04979180	Pseudomonas stutzeri		
316	SAMN06060101	Pseudomonas stutzeri		
32042	SAMN02471579	Pseudomonas stutzeri ATCC 14405 = CCUG 16156		
1196835	SAMN02603608	Pseudomonas stutzeri CCUG 29243		
1123519	SAMN02604107	Pseudomonas stutzeri DSM 10701		
1218352	SAMN02470828	Pseudomonas stutzeri KOS6		
1333856	SAMN02471812	Pseudomonas stutzeri MF28		
1212548	SAMN02471580	Pseudomonas stutzeri NF13		
644801	SAMN02232046	Pseudomonas stutzeri RCH2		
1109445	SAMN02470922	Pseudomonas stutzeri SDM-LAC		
477228	SAMN02469903	Pseudomonas stutzeri TS44		
317	SAMN02929200	Pseudomonas syringae	P	
317	SAMN03897383	Pseudomonas syringae	P	
317	SAMN05444064	Pseudomonas syringae	P	
1357279	PRJNA211401	Pseudomonas syringae CC1557	P	
103796	SAMN05589874	Pseudomonas syringae pv. actinidiae	P	
205918	SAMN02604347	Pseudomonas syringae pv. syringae B728a	P	
129140	SAMN03976254	Pseudomonas syringae pv. tagetis	P	
223283	SAMN02604017	Pseudomonas syringae pv. tomato str. DC3000	P	
95300	SAMN05216558	Pseudomonas vancouverensis		
33069	SAMN04102828	Pseudomonas viridiflava	P	
1123023	AMN0274 958	Pseudonocardia acaciae DSM 45401		
1736315	SAMN04151705	Pseudorhodoferax sp. Leaf265		
1736316	SAMN04151706	Pseudorhodoferax sp. Leaf267		
1736318	SAMN04151708	Pseudorhodoferax sp. Leaf274		
1881042	SAMN05428982	Pseudoxanthomonas sp. CF385		
935851	SAMN02597179	Pseudoxanthomonas sp. J31		
1736574	SAMN04155843	Pseudoxanthomonas sp. Root630		
1736576	SAMN04155845	Pseudoxanthomonas sp. Root65		
1881044	SAMN05428990	Pseudoxanthomonas sp. YR558		
745277	SAMN02261385	Rahnella aquatilis CIP 78.65 = ATCC 33071		
105219	SAMN03295199	Ralstonia mannitolilytica		
329	SAMN02644835	Ralstonia pickettii		
428406	SAMN00000034	Ralstonia pickettii 12D		
402626	SAMN02598396	Ralstonia pickettii 12J		
1366050	SAMN02259197	Ralstonia pickettii DTP0602		
305	SAMN03837633	Ralstonia solanacearum	P	
305	SAMN04123295	Ralstonia solanacearum	P	
305	SAMN04538211	Ralstonia solanacearum	P	
267608	SAMEA3138192	Ralstonia solanacearum GMI1000	P	
1761899	SAMN04488595	Ralstonia sp. 25mfcol4.1		
1676617	SAMN03795681	Ralstonia sp. MD27		
1736365	SAMN04151755	Ramlibacter sp. Leaf400		
54291	AMN0329 669	Raoultella ornithinolytica		
54291	AMN0593 422	Raoultella ornithinolytica		
1736292	AMN0415 672	Rathayibacter sp. Leaf185		
1736327	AMN0415 717	Rathayibacter sp. Leaf296		
145458	AMN0415 992	Rathayibacter toxicus		
33888	AMN0491 036	Rathayibacter tritici		
1736433	SAMN04155702	Rhizobacter sp. Root1221		
1736511	SAMN04155780	Rhizobacter sp. Root29		
1736528	SAMN04155797	Rhizobacter sp. Root404		
1138170	SAMN04487815	Rhizobium aethiopicum		S
492774	SAMN02787137	Rhizobium alamii		S
1138189	SAMN04966274	Rhizobium bangladeshense		S
1138189	SAMN04966275	Rhizobium bangladeshense		S
29449	SAMN05928285	Rhizobium etli		S
29449	SAMN06767430	Rhizobium etli		S
538025	SAMN04017682	Rhizobium etli 8C-3		S
1432049	SAMN02423217	Rhizobium etli bv. phaseoli str. IE4803		S
363754	SAMN02470251	Rhizobium freirei PRF 81		S
56730	SAMN04010568	Rhizobium gallicum		S
1041139	SAMN02256420	Rhizobium giardinii bv. giardinii H152		S
990285	SAMN02469448	Rhizobium grahamii CCGE 502		S
52131	SAMN04487811	Rhizobium hainanense		S
384	SAMN02787141	Rhizobium leguminosarum		S
384	SAMN02787143	Rhizobium leguminosarum		S
384	SAMN02787152	Rhizobium leguminosarum		S
384	SAMN05990783	Rhizobium leguminosarum		S
1033991	SAMN02769652	Rhizobium leguminosarum bv. trifolii CB782		S
395492	SAMN00000679	Rhizobium leguminosarum bv. trifolii WSM2304		S
29450	SAMN04231433	Rhizobium leucaenae		S
1211777	PRJEB128	Rhizobium mesoamericanum STM3625		S
411945	SAMN04487813	Rhizobium miluonense		S
410764	SAMN04487814	Rhizobium multihospitium		S
1368418	SAMN03266536	Rhizobium nepotum 39/7		S
464029	SAMN02982989	Rhizobium oryzae		S
464029	SAMN05832484	Rhizobium oryzae		S
1867956	SAMN05829247	Rhizobium oryziradicis		S
396	SAMN03998631	Rhizobium phaseoli		S
1672749	SAMN05832038	Rhizobium rhizosphaerae		S
1761900	SAMN04490368	Rhizobium sp. 9140		S
1523420	SAMN02925445	Rhizobium sp. AAP43		S
1841653	SAMN04901294	Rhizobium sp. AC27/96		S
